tarball,beamid,datafile,site,obs_start,mjd,tun1_freq,tun2_freq,target,duration,start_time,ra,dec,mode,lst,obs_end,sess_dur
 DD002_9070.tgz,1, 059727_003287894, LWASV, 2022/05/28 18:19:59.000000 UTC,59727,63.30000001,78, FRB-DETECTION-#2022-05-28-18:19:33.893286UTC_DM319.1_be76bfea954, 0:12:30, 2022/05/28 18:19:59.000000 UTC,2.7422,53.499004, TRK_RADEC, 3:37:31.09, 2022/05/28 18:32:29.000000 UTC, 0:12:30 
 DD002_9071.tgz,1, 059728_003297082, LWASV, 2022/05/29 16:50:32.000000 UTC,59728,63.30000001,78, FRB-DETECTION-#2022-05-29-16:50:07.012948UTC_DM246.3_6a7dd60e818, 0:09:40, 2022/05/29 16:50:32.000000 UTC,1.265271,20.492889, TRK_RADEC, 2:11:45.95, 2022/05/29 17:00:12.000000 UTC, 0:09:40 
 DD002_9072.tgz,1, 059731_003320664, LWASV, 2022/06/01 03:42:24.000000 UTC,59731,63.30000001,78, FRB-DETECTION-#2022-06-01-03:41:57.768563UTC_DM56.2_d01167089fa9, 0:02:20, 2022/06/01 03:42:24.000000 UTC,12.342881,72.125351, TRK_RADEC, 13:13:18.16, 2022/06/01 03:44:44.000000 UTC, 0:02:20 
 DD002_9087.tgz,1, 059823_004259009, LWASV, 2022/09/01 09:07:49.000000 UTC,59823,63.30000001,78, FRB-DETECTION-#2022-09-01-09:07:22.222658UTC_DM280.2_8328308696e, 0:11:00, 2022/09/01 09:07:49.000000 UTC,23.861494,73.437141, TRK_RADEC, 0:42:19.84, 2022/09/01 09:18:49.000000 UTC, 0:11:00 
 DD002_9088.tgz,1, 059824_004272264, LWASV, 2022/09/02 17:22:24.000000 UTC,59824,63.30000001,78, FRB-DETECTION-#2022-09-02-17:21:54.238118UTC_DM302.1_c427b2e6bdf, 0:11:50, 2022/09/02 17:22:24.000000 UTC,8.077936,65.486198, TRK_RADEC, 9:02:12.65, 2022/09/02 17:34:14.000000 UTC, 0:11:50 
 DD002_9089.tgz,1, 059828_004312919, LWASV, 2022/09/06 20:16:27.000000 UTC,59828,63.30000001,78, FRB-DETECTION-#2022-09-06-20:15:56.777129UTC_DM142.7_bdc51e94968, 0:05:40, 2022/09/06 20:16:27.000000 UTC,11.303347,26.341379, TRK_RADEC, 12:12:30.48, 2022/09/06 20:22:07.000000 UTC, 0:05:40 
 DD002_9090.tgz,1, 059832_004353510, LWASV, 2022/09/10 20:27:50.000000 UTC,59832,63.30000001,78, FRB-DETECTION-#2022-09-10-20:27:21.189237UTC_DM57.0_ffbbd184a8e5, 0:02:20, 2022/09/10 20:27:50.000000 UTC,11.686352,65.939262, TRK_RADEC, 12:39:41.56, 2022/09/10 20:30:10.000000 UTC, 0:02:20 
 DD002_9091.tgz,1, 059834_004369482, LWASV, 2022/09/12 06:53:20.000000 UTC,59834,63.30000001,78, FRB-DETECTION-#2022-09-12-06:52:49.558144UTC_DM75.2_8afc9a32b53e, 0:03:00, 2022/09/12 06:53:20.000000 UTC,22.339441,29.43491, TRK_RADEC, 23:10:50.86, 2022/09/12 06:56:20.000000 UTC, 0:03:00 
 DD002_9092.tgz,1, 059834_004374067, LWASV, 2022/09/12 17:59:06.000000 UTC,59834,63.30000001,78, FRB-DETECTION-#2022-09-12-17:58:36.489548UTC_DM57.0_8d5cd1f499a2, 0:02:20, 2022/09/12 17:59:06.000000 UTC,9.390536,42.033535, TRK_RADEC, 10:18:26.23, 2022/09/12 18:01:26.000000 UTC, 0:02:20 
 DD002_9093.tgz,1, 059870_004726491, LWASV, 2022/10/18 06:53:33.000000 UTC,59870,63.30000001,78, FRB-DETECTION-#2022-10-18-06:53:03.580055UTC_DM307.7_8b67062c934, 0:12:00, 2022/10/18 06:53:33.000000 UTC,0.70359,20.928608, TRK_RADEC, 1:32:59.84, 2022/10/18 07:05:33.000000 UTC, 0:12:00 
 DD002_9094.tgz,1, 059872_004750961, LWASV, 2022/10/20 18:41:15.000000 UTC,59872,63.30000001,78, FRB-DETECTION-#2022-10-20-18:40:33.375347UTC_DM317.4_bbfbc01aabb, 0:12:30, 2022/10/20 18:41:15.000000 UTC,12.602489,25.06991, TRK_RADEC, 13:30:31.20, 2022/10/20 18:53:45.000000 UTC, 0:12:30 
 DD002_9095.tgz,1, 059874_004767414, LWASV, 2022/10/22 10:15:28.000000 UTC,59874,63.30000001,78, FRB-DETECTION-#2022-10-22-10:14:58.662146UTC_DM116.9_69be7d0ebca, 0:04:40, 2022/10/22 10:15:28.000000 UTC,3.1248,86.811295, TRK_RADEC, 5:11:14.21, 2022/10/22 10:20:08.000000 UTC, 0:04:40 
 DD002_9096.tgz,1, 059879_004822176, LWASV, 2022/10/27 23:41:08.000000 UTC,59879,63.30000001,78, FRB-DETECTION-#2022-10-27-23:40:36.511367UTC_DM155.7_c7a5591cbdf, 0:06:05, 2022/10/27 23:41:08.000000 UTC,18.024889,52.798431, TRK_RADEC, 18:58:49.32, 2022/10/27 23:47:13.000000 UTC, 0:06:05 
